GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ISO2-2022-Testing-P1,es.uclm.iso2.p1,Main,26,0,2,0,9,0,3,0,2,0
ISO2-2022-Testing-P1,es.uclm.iso2.p1,Fecha,6,87,4,12,2,26,4,13,0,9
